DrugID	DrugName	AvgRank	AvgScore
DB11638	Artenimol	150.0	38.731724
DB09116	Calcium carbimide	151.0	38.728832
DB01005	Hydroxyurea	152.0	38.70538
DB00668	Epinephrine	153.0	38.67907
DB01173	Orphenadrine	154.0	38.669117
DB01154	Thiamylal	155.0	38.65968
DB02078	Triglyme	156.0	38.61848
DB00593	Ethosuximide	157.0	38.61387
DB00825	Levomenthol	158.0	38.61384
DB01213	Fomepizole	159.0	38.5734
DB03854	Pentane-1,5-Diamine	160.0	38.571526
DB01065	Melatonin	161.0	38.564213
DB01008	Busulfan	162.0	38.559067
DB00553	Methoxsalen	163.0	38.5549
DB00829	Diazepam	164.0	38.54991
DB00162	Vitamin A	165.0	38.5479
DB06470	Clomethiazole	166.0	38.532623
DB00780	Phenelzine	167.0	38.530018
DB01118	Amiodarone	168.0	38.52874
DB06412	Oxymetholone	169.0	38.528397
DB09070	Tibolone	170.0	38.522156
DB00594	Amiloride	171.0	38.516186
DB05383	Pimagedine	172.0	38.511105
DB01119	Diazoxide	173.0	38.506622
DB03260	1,6-Diaminohexane	174.0	38.501736
DB00338	Omeprazole	175.0	38.497196
DB00857	Terbinafine	176.0	38.497044
DB01375	Aluminium monostearate	177.0	38.48285
DB01151	Desipramine	178.0	38.48068
DB00856	Chlorphenesin	179.0	38.47692
DB00472	Fluoxetine	180.0	38.473446
DB02520	Ditiocarb	181.0	38.454838
DB01035	Procainamide	182.0	38.436813
DB08604	Triclosan	183.0	38.43555
DB13179	Troleandomycin	184.0	38.430676
DB00619	Imatinib	185.0	38.428177
DB00277	Theophylline	186.0	38.420605
DB13014	Hypericin	187.0	38.41683
DB01233	Metoclopramide	188.0	38.414036
DB09085	Tetracaine	189.0	38.40625
DB00312	Pentobarbital	190.0	38.4039
DB01355	Hexobarbital	191.0	38.402287
DB00281	Lidocaine	192.0	38.390182
DB08868	Fingolimod	193.0	38.383793
DB04119	Hexatantalum Dodecabromide	194.0	38.3773
DB11447	Phenothiazine	195.0	38.376602
DB04841	Flunarizine	196.0	38.361217
DB04519	Caprylic acid	197.0	38.35011
DB06778	Cupric sulfate	198.0	38.349377
DB00606	Cyclothiazide	199.0	38.348663
DB06697	Artemether	200.0	38.344025
DB00308	Ibutilide	201.0	38.324455
DB01520	Tenocyclidine	202.0	38.32341
DB06335	Saxagliptin	203.0	38.32014
DB01221	Ketamine	204.0	38.277958
DB00842	Oxazepam	205.0	38.275978
DB08558	2-HYDROXYMETHYL-6-OCTYLSULFANYL-TETRAHYDRO-PYRAN-3,4,5-TRIOL	206.0	38.266327
DB01544	Flunitrazepam	207.0	38.265087
DB00368	Norepinephrine	208.0	38.24596
DB03754	Tromethamine	209.0	38.24596
DB01057	Echothiophate	210.0	38.237106
DB09160	Technetium Tc-99m tetrofosmin	211.0	38.227776
DB00974	Edetic acid	212.0	38.22661
DB04855	Dronedarone	213.0	38.216797
DB00514	Dextromethorphan	214.0	38.214466
DB11136	Chromium	215.0	38.21145
DB00772	Malathion	216.0	38.195164
DB09481	Magnesium carbonate	217.0	38.17849
DB00428	Streptozocin	218.0	38.174232
DB00762	Irinotecan	219.0	38.172287
DB00677	Isoflurophate	220.0	38.163475
DB03366	Imidazole	221.0	38.159016
DB01685	Topiroxostat	222.0	38.149853
DB03553	Glutaric Acid	223.0	38.14923
DB00418	Secobarbital	224.0	38.140926
DB13955	Estradiol dienanthate	225.0	38.137516
DB06756	Glycine betaine	226.0	38.133312
DB01011	Metyrapone	227.0	38.13283
DB09460	Sodium carbonate	228.0	38.12735
DB06151	Acetylcysteine	229.0	38.12086
DB00783	Estradiol	230.0	38.09374
DB08612	1,1,1-TRIFLUORO-3-(OCTYLTHIO)ACETONE	231.0	38.092743
DB00481	Raloxifene	232.0	38.09138
DB04920	Clevidipine	233.0	38.091236
DB12458	Muscimol	234.0	38.077686
DB11156	Pyrantel	235.0	38.061264
DB06689	Ethanolamine oleate	236.0	38.05573
DB00448	Lansoprazole	237.0	38.052166
DB03328	Dioxo(sulfanyl)molybdenum	238.0	38.050262
DB03900	2-Methyl-2-Propanol	239.0	38.0453
DB04871	Lorcaserin	240.0	38.040398
DB01033	Mercaptopurine	241.0	38.040104
DB00292	Etomidate	242.0	38.01449
DB00794	Primidone	243.0	38.005787
DB00185	Cevimeline	244.0	37.987965
DB01045	Rifampicin	245.0	37.98766
DB03600	Capric acid	246.0	37.979588
DB00197	Troglitazone	247.0	37.963375
DB04530	S,S-(2-Hydroxyethyl)Thiocysteine	248.0	37.949696
DB04447	1,4-Dithiothreitol	249.0	37.935253
DB01199	Tubocurarine	250.0	37.929493
DB00260	Cycloserine	251.0	37.925426
DB00548	Azelaic acid	252.0	37.912167
DB04417	P-Nitrophenol	253.0	37.895058
DB03575	Phencyclidine	254.0	37.88783
DB01592	Iron	255.0	37.878574
DB01595	Nitrazepam	256.0	37.873726
DB00910	Paricalcitol	257.0	37.86904
DB00636	Clofibrate	258.0	37.85828
DB00452	Framycetin	259.0	37.854866
DB00693	Fluorescein	260.0	37.847855
DB11127	Selenious acid	261.0	37.83845
DB00975	Dipyridamole	262.0	37.83465
DB01006	Letrozole	263.0	37.82311
DB00922	Levosimendan	264.0	37.811996
DB05513	Atiprimod	265.0	37.811844
DB01558	Bromazepam	266.0	37.81004
DB00773	Etoposide	267.0	37.806633
DB04115	Berberine	268.0	37.799614
DB13956	Estradiol valerate	269.0	37.79515
DB00379	Mexiletine	270.0	37.790806
DB05219	Crisaborole	271.0	37.783894
DB00683	Midazolam	272.0	37.78299
DB00166	Lipoic acid	273.0	37.782642
DB04794	Bifonazole	274.0	37.760162
DB13954	Estradiol cypionate	275.0	37.75256
DB04868	Nilotinib	276.0	37.748573
DB00997	Doxorubicin	277.0	37.73938
DB00742	Mannitol	278.0	37.738964
DB03203	Sphingosine	279.0	37.738323
DB05382	Iodine	280.0	37.737392
DB05232	Tetrodotoxin	281.0	37.733532
DB03814	2-(N-Morpholino)-Ethanesulfonic Acid	282.0	37.729504
DB07106	4-(DIMETHYLAMINO)BUTYL IMIDOTHIOCARBAMATE	283.0	37.72062
DB00468	Quinine	284.0	37.716488
DB13154	Parachlorophenol	285.0	37.715794
DB00339	Pyrazinamide	286.0	37.709206
DB04957	Azimilide	287.0	37.70864
DB00170	Menadione	288.0	37.703526
DB03316	1,4-Diethylene Dioxide	289.0	37.696487
DB04539	Glyphosate	290.0	37.687138
DB01032	Probenecid	291.0	37.687073
DB01587	Ketazolam	292.0	37.686947
DB04830	Buformin	293.0	37.68376
DB00927	Famotidine	294.0	37.67911
DB00425	Zolpidem	295.0	37.674904
DB01075	Diphenhydramine	296.0	37.66646
DB09241	Methylene blue	297.0	37.66581
DB00091	Cyclosporine	298.0	37.654293
DB00586	Diclofenac	299.0	37.636562
DB14201	2,2'-Dibenzothiazyl disulfide	300.0	37.635284
DB03556	2-(2-{2-[2-(2-{2-[2-(2-Ethoxy-Ethoxy)-Ethoxy]-Ethoxy}-Ethoxy)-Ethoxy]-Ethoxy}-Ethoxy)-Ethanol, Polyethyleneglycol Peg400	301.0	37.625973
DB00703	Methazolamide	302.0	37.609913
DB00908	Quinidine	303.0	37.596024
DB07776	Flavone	304.0	37.58452
DB06712	Nilvadipine	305.0	37.5781
DB01388	Mibefradil	306.0	37.574646
DB00280	Disopyramide	307.0	37.57452
DB00864	Tacrolimus	308.0	37.574364
DB01104	Sertraline	309.0	37.572033
DB00393	Nimodipine	310.0	37.570072
DB13952	Estradiol acetate	311.0	37.53792
DB01407	Clenbuterol	312.0	37.533604
DB01007	Tioconazole	313.0	37.521515
DB06757	Manganese	314.0	37.519814
DB00977	Ethinylestradiol	315.0	37.519756
DB04272	Citric acid	316.0	37.51497
DB13066	Liarozole	317.0	37.513153
DB04824	Phenolphthalein	318.0	37.511917
DB06589	Pazopanib	319.0	37.505627
DB00437	Allopurinol	320.0	37.504086
DB07453	2-PHENYL-4H-BENZO[H]CHROMEN-4-ONE	321.0	37.501675
DB11672	Curcumin	322.0	37.497635
DB00882	Clomifene	323.0	37.48827
DB00949	Felbamate	324.0	37.472576
DB00152	Thiamine	325.0	37.46793
DB00768	Olopatadine	326.0	37.457603
DB00202	Succinylcholine	327.0	37.450634
DB01242	Clomipramine	328.0	37.44691
DB05855	Rivanicline	329.0	37.444942
DB00550	Propylthiouracil	330.0	37.43978
DB04468	Afimoxifene	331.0	37.437172
DB00179	Masoprocol	332.0	37.428196
DB04571	Trioxsalen	333.0	37.42733
DB01424	Aminophenazone	334.0	37.426727
DB00389	Carbimazole	335.0	37.42202
DB00674	Galantamine	336.0	37.419365
DB00761	Potassium chloride	337.0	37.405975
DB00390	Digoxin	338.0	37.396812
DB01217	Anastrozole	339.0	37.393826
DB01129	Rabeprazole	340.0	37.38525
DB00540	Nortriptyline	341.0	37.363026
DB00897	Triazolam	342.0	37.362293
DB00659	Acamprosate	343.0	37.35542
DB06820	Sulconazole	344.0	37.352074
DB01234	Dexamethasone	345.0	37.350758
DB01020	Isosorbide mononitrate	346.0	37.349777
DB01144	Diclofenamide	347.0	37.345654
DB01599	Probucol	348.0	37.342777
DB05708	GTS-21	349.0	37.342606
DB00204	Dofetilide	350.0	37.340836
DB01166	Cilostazol	351.0	37.33796
DB00655	Estrone	352.0	37.332455
DB01396	Digitoxin	353.0	37.325947
DB01351	Amobarbital	354.0	37.312557
DB04581	1-benzylimidazole	355.0	37.311752
DB03193	Stearic acid	356.0	37.30845
DB01164	Calcium chloride	357.0	37.308292
DB00358	Mefloquine	358.0	37.30764
DB00623	Fluphenazine	359.0	37.305862
DB06751	Drotaverine	360.0	37.30515
DB08601	tributylstannanyl	361.0	37.295467
DB07641	Decyl(dimethyl)phosphine oxide	362.0	37.290054
DB02845	Methylphosphinic Acid	363.0	37.288406
DB03783	Phenacetin	364.0	37.28304
DB13953	Estradiol benzoate	365.0	37.27851
DB00849	Methylphenobarbital	366.0	37.27746
DB00239	Oxiconazole	367.0	37.2768
DB00819	Acetazolamide	368.0	37.275257
DB11817	Baricitinib	369.0	37.274494
DB09221	Polaprezinc	370.0	37.272953
DB12328	Cantharidin	371.0	37.268063
DB00502	Haloperidol	372.0	37.264595
DB01378	Magnesium cation	373.0	37.262924
DB06691	Mepyramine	374.0	37.25469
DB08839	Serotonin	375.0	37.250298
DB00196	Fluconazole	376.0	37.24738
DB01012	Cinacalcet	377.0	37.2429
DB01156	Bupropion	378.0	37.228973
DB02643	N-Dodecyl-N,N-Dimethyl-3-Ammonio-1-Propanesulfonate	379.0	37.228943
DB01353	Butobarbital	380.0	37.223713
DB09166	Etizolam	381.0	37.22251
DB00205	Pyrimethamine	382.0	37.221466
DB00343	Diltiazem	383.0	37.218224
DB02513	Thymol	384.0	37.215992
DB00176	Fluvoxamine	385.0	37.213226
DB04926	Neramexane	386.0	37.21193
DB06201	Rufinamide	387.0	37.202957
DB00999	Hydrochlorothiazide	388.0	37.18685
DB04665	Coumarin	389.0	37.1859
DB01698	Rutin	390.0	37.185455
DB00357	Aminoglutethimide	391.0	37.179142
DB00622	Nicardipine	392.0	37.17902
DB09087	Potassium alum	393.0	37.17588
DB00850	Perphenazine	394.0	37.173477
DB01211	Clarithromycin	395.0	37.16806
DB09325	Sodium fluoride	396.0	37.167114
DB00925	Phenoxybenzamine	397.0	37.16086
DB00690	Flurazepam	398.0	37.159985
DB12116	Epigallocatechin gallate	399.0	37.159336
DB00951	Isoniazid	400.0	37.156845
DB15334	Biochanin A	401.0	37.15175
DB02210	Hexane-1,6-Diol	402.0	37.1454
DB00633	Dexmedetomidine	403.0	37.142715
DB01090	Pentolinium	404.0	37.139854
DB00395	Carisoprodol	405.0	37.139828
DB00396	Progesterone	406.0	37.134174
DB07919	7-METHOXY-1-METHYL-9H-BETA-CARBOLINE	407.0	37.123966
DB01176	Cyclizine	408.0	37.121334
DB05812	Abiraterone	409.0	37.11662
DB14737	Cannabinol	410.0	37.11563
DB02681	2,8-bis[oxido(oxo)vanadio]-1,1,1,3,5,5,7,7,9,9,9-undecaoxopentavanadoxane-2,8-diium	411.0	37.110382
DB03568	Butyric Acid	412.0	37.10952
DB00774	Hydroflumethiazide	413.0	37.108303
DB13806	Linopirdine	414.0	37.105736
DB13944	Testosterone enanthate	415.0	37.094772
DB04953	Ezogabine	416.0	37.08948
DB00199	Erythromycin	417.0	37.08809
DB00173	Adenine	418.0	37.087757
DB07821	(1R)-1,2,2-trimethylpropyl (R)-methylphosphinate	419.0	37.08451
DB00400	Griseofulvin	420.0	37.075775
DB02825	Methylphosphinate	421.0	37.07393
DB08931	Riociguat	422.0	37.068127
DB11807	Dexmecamylamine	423.0	37.067867
DB00852	Pseudoephedrine	424.0	37.067184
DB11157	Anthralin	425.0	37.066376
DB07623	4,4'-DIPYRIDYL DISULFIDE	426.0	37.063534
DB01337	Pancuronium	427.0	37.06135
DB01092	Ouabain	428.0	37.04096
DB13946	Testosterone undecanoate	429.0	37.035034
DB00208	Ticlopidine	430.0	37.025146
DB04975	Banoxantrone	431.0	37.02432
DB06770	Benzyl alcohol	432.0	37.019634
DB00752	Tranylcypromine	433.0	37.009636
DB01303	Oxtriphylline	434.0	37.008724
DB00333	Methadone	435.0	36.98695
DB01087	Primaquine	436.0	36.982765
DB05939	MK-0354	437.0	36.982174
DB00539	Toremifene	438.0	36.977196
DB01237	Bromodiphenhydramine	439.0	36.962734
DB00962	Zaleplon	440.0	36.952286
DB01064	Isoprenaline	441.0	36.949844
DB04522	Dexfosfoserine	442.0	36.949356
DB01069	Promethazine	443.0	36.94236
DB09117	Paraldehyde	444.0	36.93833
DB00186	Lorazepam	445.0	36.934235
DB00834	Mifepristone	446.0	36.933384
DB08883	Perampanel	447.0	36.92841
DB00613	Amodiaquine	448.0	36.928074
DB01612	Amyl Nitrite	449.0	36.923973
DB01054	Nitrendipine	450.0	36.914276
DB00715	Paroxetine	451.0	36.912453
DB01435	Antipyrine	452.0	36.902725
DB00836	Loperamide	453.0	36.901554
DB05105	Pleconaril	454.0	36.900127
DB12332	Rucaparib	455.0	36.899788
DB00694	Daunorubicin	456.0	36.896023
DB00945	Acetylsalicylic acid	457.0	36.88231
DB00608	Chloroquine	458.0	36.880108
DB00259	Sulfanilamide	459.0	36.87933
DB04209	Dequalinium	460.0	36.87668
DB00153	Ergocalciferol	461.0	36.87343
DB02300	Calcipotriol	462.0	36.871975
DB01085	Pilocarpine	463.0	36.86911
DB04513	N-(6-Aminohexyl)-5-Chloro-1-Naphthalenesulfonamide	464.0	36.858612
DB00875	Flupentixol	465.0	36.84776
DB00421	Spironolactone	466.0	36.844433
DB06716	Fospropofol	467.0	36.84004
DB03977	N-Trimethyllysine	468.0	36.837936
DB03929	D-Serine	469.0	36.832718
DB03346	3,5,3',5'-Tetrachloro-Biphenyl-4,4'-Diol	470.0	36.82978
DB07931	Hexestrol	471.0	36.827965
DB06706	Isometheptene	472.0	36.8275
DB13182	Daidzein	473.0	36.827374
DB00484	Brimonidine	474.0	36.8273
DB00657	Mecamylamine	475.0	36.827065
DB00401	Nisoldipine	476.0	36.821964
DB00499	Flutamide	477.0	36.81872
DB00916	Metronidazole	478.0	36.81772
DB00454	Meperidine	479.0	36.814373
DB09054	Idelalisib	480.0	36.807743
DB00695	Furosemide	481.0	36.798153
DB01708	Prasterone	482.0	36.777702
DB00215	Citalopram	483.0	36.77539
DB01483	Barbital	484.0	36.772778
DB00544	Fluorouracil	485.0	36.772335
DB01339	Vecuronium	486.0	36.762733
DB02325	Isopropyl alcohol	487.0	36.75789
DB00571	Propranolol	488.0	36.754715
DB00270	Isradipine	489.0	36.754513
DB03766	Propanoic acid	490.0	36.753746
DB00334	Olanzapine	491.0	36.752884
DB01970	Hg9a-9, Nonanoyl-N-Hydroxyethylglucamide	492.0	36.752556
DB01170	Guanethidine	493.0	36.750023
DB12161	Deutetrabenazine	494.0	36.741634
DB09229	Aranidipine	495.0	36.740646
DB00804	Dicyclomine	496.0	36.740547
DB09129	Chromic chloride	497.0	36.73881
DB01059	Norfloxacin	498.0	36.73685
DB01202	Levetiracetam	499.0	36.734535
DB00841	Dobutamine	500.0	36.73381
DB00523	Alitretinoin	501.0	36.733143
DB01559	Clotiazepam	502.0	36.731457
DB01137	Levofloxacin	503.0	36.728924
DB04839	Cyproterone acetate	504.0	36.72765
DB00413	Pramipexole	505.0	36.719925
DB00711	Diethylcarbamazine	506.0	36.715992
DB00641	Simvastatin	507.0	36.715595
DB01138	Sulfinpyrazone	508.0	36.708553
DB08399	PICEATANNOL	509.0	36.706017
DB11837	Osilodrostat	510.0	36.70601
DB00808	Indapamide	511.0	36.704697
DB00529	Foscarnet	512.0	36.699028
DB00624	Testosterone	513.0	36.69081
DB00588	Fluticasone propionate	514.0	36.689125
DB05088	Tetrathiomolybdate	515.0	36.684464
DB02404	1-Deoxy-1-Thio-Heptaethylene Glycol	516.0	36.67376
DB02465	Methoxy arachidonyl fluorophosphonate	517.0	36.672028
DB11642	Pitolisant	518.0	36.67195
DB00582	Voriconazole	519.0	36.66044
DB00869	Dorzolamide	520.0	36.655106
DB00398	Sorafenib	521.0	36.650455
DB13951	Stanolone acetate	522.0	36.645744
DB13943	Testosterone cypionate	523.0	36.64346
DB01165	Ofloxacin	524.0	36.642612
DB00463	Metharbital	525.0	36.637867
DB08167	Methylthioninium	526.0	36.63701
DB07715	Emodin	527.0	36.62537
DB04105	N-Heptylformamide	528.0	36.624092
DB01345	Potassium cation	529.0	36.61734
DB09139	Technetium Tc-99m oxidronate	530.0	36.611343
DB02613	Decylamine-N,N-Dimethyl-N-Oxide	531.0	36.609833
DB01142	Doxepin	532.0	36.608974
DB00665	Nilutamide	533.0	36.607197
DB01198	Zopiclone	534.0	36.598644
DB04682	Octylphenoxy polyethoxyethanol	535.0	36.59437
DB01107	Methyprylon	536.0	36.593834
DB06444	Dexanabinol	537.0	36.58072
DB11901	Apalutamide	538.0	36.577263
DB00914	Phenformin	539.0	36.57623
DB00530	Erlotinib	540.0	36.57046
DB00851	Dacarbazine	541.0	36.569336
DB00682	Warfarin	542.0	36.56408
DB04557	Arachidonic Acid	543.0	36.561913
DB00585	Nizatidine	544.0	36.56167
DB00920	Ketotifen	545.0	36.559105
DB04664	Cyclohexyl-pentyl-maltoside	546.0	36.557858
DB01041	Thalidomide	547.0	36.556435
DB00406	Gentian violet cation	548.0	36.55437
DB01273	Varenicline	549.0	36.550186
DB00837	Progabide	550.0	36.546345
DB02999	Quisqualate	551.0	36.542965
DB00203	Sildenafil	552.0	36.536175
DB00344	Protriptyline	553.0	36.52926
DB06262	Droxidopa	554.0	36.52726
DB01223	Aminophylline	555.0	36.51506
DB09028	Cytisine	556.0	36.513195
DB00227	Lovastatin	557.0	36.512703
DB00261	Anagrelide	558.0	36.509018
DB06370	Indisulam	559.0	36.50647
DB01216	Finasteride	560.0	36.49797
DB00365	Grepafloxacin	561.0	36.493874
DB00939	Meclofenamic acid	562.0	36.49375
DB00157	NADH	563.0	36.48595
DB00402	Eszopiclone	564.0	36.48387
DB01037	Selegiline	565.0	36.483616
DB12665	Isoquercetin	566.0	36.481327
DB04599	Aniracetam	567.0	36.478016
DB01892	Hyperforin	568.0	36.478012
DB00159	Icosapent	569.0	36.472927
DB00264	Metoprolol	570.0	36.47225
DB06744	ginkgolide-B	571.0	36.472153
DB00123	L-Lysine	572.0	36.47
DB09237	Levamlodipine	573.0	36.4602
DB00798	Gentamicin	574.0	36.45637
DB00132	alpha-Linolenic acid	575.0	36.45564
DB01931	5,7-Dichlorokynurenic acid	576.0	36.45459
DB06774	Capsaicin	577.0	36.45033
DB00967	Desloratadine	578.0	36.44891
DB01367	Rasagiline	579.0	36.446487
DB09348	Propiolactone	580.0	36.442627
DB00735	Naftifine	581.0	36.440525
DB00345	Aminohippuric acid	582.0	36.438133
DB13941	Piperaquine	583.0	36.436417
DB00420	Promazine	584.0	36.433857
DB02624	Homoserine Lactone	585.0	36.430622
DB01100	Pimozide	586.0	36.42531
DB04224	Oleic Acid	587.0	36.42424
DB00285	Venlafaxine	588.0	36.421375
DB06743	Ginkgolide A	589.0	36.41497
DB09343	Tipiracil	590.0	36.41404
DB01167	Itraconazole	591.0	36.412643
DB00206	Reserpine	592.0	36.406002
DB09090	Pinaverium	593.0	36.403973
DB09086	Eugenol	594.0	36.398003
DB01113	Papaverine	595.0	36.397682
DB12831	Gabexate	596.0	36.397236
DB06803	Niclosamide	597.0	36.3939
DB00887	Bumetanide	598.0	36.390427
DB06176	Romidepsin	599.0	36.383877
DB05010	SGS-742	600.0	36.381798
DB06732	beta-Naphthoflavone	601.0	36.38174
DB00580	Valdecoxib	602.0	36.379944
DB01091	Butenafine	603.0	36.3791
DB00865	Benzphetamine	604.0	36.37107
DB02343	3,6,9,12,15-Pentaoxaheptadecane	605.0	36.369297
DB06728	Aniline	606.0	36.36171
DB06204	Tapentadol	607.0	36.36025
DB00207	Azithromycin	608.0	36.360195
DB01354	Heptabarbital	609.0	36.353745
DB00181	Baclofen	610.0	36.351257
DB00136	Calcitriol	611.0	36.351105
DB00231	Temazepam	612.0	36.349957
DB01437	Glutethimide	613.0	36.34971
DB00537	Ciprofloxacin	614.0	36.339535
DB01132	Pioglitazone	615.0	36.33926
DB00377	Palonosetron	616.0	36.333992
DB01427	Amrinone	617.0	36.330307
